Test Instance,High-Level Solver,Low-Level Solver,Cost,CPU Time,# Expanded,# Generated,# in Open-List at Max
instances_high_agents_low_density\test_6.txt,CBS,AL*,38,3.649,5,9,5
instances_high_agents_low_density\test_7.txt,CBS,AL*,36,1.157,2,3,2
instances_high_agents_low_density\test_8.txt,CBS,AL*,32,1.237,3,5,3
instances_high_agents_low_density\test_9.txt,CBS,AL*,39,2.353,3,5,3
instances_high_agents_low_density\test_0.txt,CBS,IDA*,30,0,1,1,1
instances_high_agents_low_density\test_1.txt,CBS,IDA*,32,0.009,3,5,3
instances_high_agents_low_density\test_10.txt,CBS,IDA*,34,0.005,1,1,1
instances_high_agents_low_density\test_11.txt,CBS,IDA*,31,0.014,3,5,3
instances_high_agents_low_density\test_12.txt,CBS,IDA*,26,0.003,2,3,2
instances_high_agents_low_density\test_13.txt,CBS,IDA*,29,0.56,4,7,4
instances_high_agents_low_density\test_14.txt,CBS,IDA*,25,0.003,1,1,1
instances_high_agents_low_density\test_15.txt,CBS,IDA*,38,0.102,3,5,3
instances_high_agents_low_density\test_16.txt,CBS,IDA*,28,0.003,2,3,2
instances_high_agents_low_density\test_17.txt,CBS,IDA*,33,5.807,5,9,5
instances_high_agents_low_density\test_18.txt,CBS,IDA*,36,0.001,1,1,1
instances_high_agents_low_density\test_19.txt,CBS,IDA*,35,0.653,6,11,6
instances_high_agents_low_density\test_2.txt,CBS,IDA*,35,0.132,18,35,18
instances_high_agents_low_density\test_20.txt,CBS,IDA*,32,5.169,5,9,5
instances_high_agents_low_density\test_21.txt,CBS,IDA*,43,0.225,9,17,9
instances_high_agents_low_density\test_22.txt,CBS,IDA*,25,0,1,1,1
instances_high_agents_low_density\test_23.txt,CBS,IDA*,35,0.046,8,15,8
instances_high_agents_low_density\test_24.txt,CBS,IDA*,39,0.082,8,15,8
instances_high_agents_low_density\test_3.txt,CBS,IDA*,29,0.035,3,5,3
instances_high_agents_low_density\test_4.txt,CBS,IDA*,42,0.029,4,7,4
instances_high_agents_low_density\test_5.txt,CBS,IDA*,30,4.808,2,3,2
instances_high_agents_low_density\test_6.txt,CBS,IDA*,38,0.065,10,19,10
instances_high_agents_low_density\test_7.txt,CBS,IDA*,36,0.208,5,9,5
instances_high_agents_low_density\test_8.txt,CBS,IDA*,32,0.003,3,5,3
instances_high_agents_low_density\test_9.txt,CBS,IDA*,39,0.012,4,7,4
instances_high_agents_low_density\test_0.txt,ICTS,A*,30,0.023,7,7,1
instances_high_agents_low_density\test_1.txt,ICTS,A*,32,0.052,11,16,6
instances_high_agents_low_density\test_10.txt,ICTS,A*,34,0.052,8,8,1
instances_high_agents_low_density\test_11.txt,ICTS,A*,31,0.022,6,6,1
instances_high_agents_low_density\test_12.txt,ICTS,A*,26,0.06,9,9,1
instances_high_agents_low_density\test_13.txt,ICTS,A*,29,0.045,7,7,1
instances_high_agents_low_density\test_14.txt,ICTS,A*,25,0.014,7,7,1
instances_high_agents_low_density\test_15.txt,ICTS,A*,38,0.052,8,8,1
instances_high_agents_low_density\test_16.txt,ICTS,A*,28,0.054,10,10,1
instances_high_agents_low_density\test_17.txt,ICTS,A*,33,0.072,12,14,3
instances_high_agents_low_density\test_18.txt,ICTS,A*,36,0.061,8,8,1
instances_high_agents_low_density\test_19.txt,ICTS,A*,35,0.555,26,59,25
instances_high_agents_low_density\test_2.txt,ICTS,A*,35,0.103,11,13,3
instances_high_agents_low_density\test_20.txt,ICTS,A*,32,0.07,7,7,1
instances_high_agents_low_density\test_21.txt,ICTS,A*,43,0.064,10,12,3
instances_high_agents_low_density\test_22.txt,ICTS,A*,25,0.04,7,7,1
instances_high_agents_low_density\test_23.txt,ICTS,A*,35,0.308,24,47,19
